PERIODO,EVENTO,MODALIDAD_DE_EJECUCION,COSTO_DE_OBRA-EXP_TEC,COSTO_ACTUALIZADO,RANGO_DE_INVERSION,SALDO_DE_INVERSION,TIPO_DE_OBRA,MACRO_REGION,ANO_INICIO_OBRA,ULT_AVANCE_MES,ULT_AVANCE_ANO,PLAZO_DE_EJECUCION,AVANCE_FISICO,NIVEL_DE_GOBIERNO,SECTOR,UNIDAD_ORGANICA,LEY_31589,INVENTARIO_OBRAS_PARALIZADAS_MEF,CAUSAL_PARALIZACION
202409,Proceso Normal,Contrata,13531201.21,14796200.4699999,> 10 - 100,457085.53,Transportes Y Comunicaciones,Norte,2021,3,2024,180,94.2,G. Local,TRANSPORTES Y COMUNICACIONES,GERENCIA REGIONAL DE CONTROL DE CAJAMARCA,1,NO,14 Otros
202409,Proceso Normal,Administración directa,4147440.62,,< =1,1735919.84,"Vivienda, Construcción Y Saneamiento",Centro,2022,11,2023,120,67.87,G. Local,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",GERENCIA REGIONAL DE CONTROL DE AYACUCHO,1,SI,2 Incumplimiento de contrato
202409,Reconstrucción con Cambios,Contrata,,,< =1,2815.03,Transportes Y Comunicaciones,Sur,2019,8,2020,90,48.64,G. Local,TRANSPORTES Y COMUNICACIONES,GERENCIA REGIONAL DE CONTROL DE LA LIBERTAD,1,NO,2 Incumplimiento de contrato
202409,Proceso Normal,Contrata,28683771.13,28184032.2,> 10 - 100,1633072.91,Educación/Cultura,Sur,2022,5,2024,300,95.82,G. Local,CULTURA,GERENCIA REGIONAL DE CONTROL DE ANCASH,1,SI,5 Deficiencia en el Expediente Técnico
202409,Reconstrucción con Cambios,Contrata,,,< =1,624101.41,Transportes Y Comunicaciones,Sur,2020,6,2022,300,83.19,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Reconstrucción con Cambios,Contrata,,,< =1,384137.53,Transportes Y Comunicaciones,Centro,2020,6,2022,300,94.19,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Reconstrucción con Cambios,Contrata,,,< =1,793239.68,Transportes Y Comunicaciones,Sur,2020,3,2022,180,66.64,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Reconstrucción con Cambios,Contrata,,,< =1,2711631.91,Transportes Y Comunicaciones,Centro,2020,3,2022,180,50.84,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Reconstrucción con Cambios,Contrata,,,< =1,1525064.77,Transportes Y Comunicaciones,Centro,2020,3,2022,180,43.77,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Reconstrucción con Cambios,Contrata,,,< =1,1797707.59,Transportes Y Comunicaciones,Norte,2020,3,2022,180,56.75,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Proceso Normal,Contrata,76517780.68,81434755.55,> 10 - 100,1235339.55,Transportes Y Comunicaciones,Oriente,2020,9,2024,360,82.85,G. Nacional,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 Incumplimiento de contrato
202409,Proceso Normal,Administración directa,9836690.06,9955131.91,> 3 - 10,5402355.91,Educación/Cultura,Oriente,2022,9,2024,365,27.93,G. Local,CULTURA,GERENCIA REGIONAL DE CONTROL DE MOQUEGUA,0,SI,14 Otros
