PERIODO,EVENTO,MODALIDAD_DE_EJECUCION,COSTO_DE_OBRA-EXP_TEC,COSTO_ACTUALIZADO,RANGO_DE_INVERSION,SALDO_DE_INVERSION,TIPO_DE_OBRA,MACRO_REGION,ANO_INICIO_OBRA,ULT_AVANCE_MES,ULT_AVANCE_ANO,PLAZO_DE_EJECUCION,AVANCE_FISICO,NIVEL_DE_GOBIERNO,SECTOR,UNIDAD_ORGANICA,LEY_31589,INVENTARIO_OBRAS_PARALIZADAS_MEF,CAUSAL_PARALIZACION
202409,PROCESO NORMAL,CONTRATA,13531201.21,14796200.4699999,> 10 - 100,457085.53,TRANSPORTES Y COMUNICACIONES,NORTE,2021,3,2024,180,94.2,G. LOCAL,TRANSPORTES Y COMUNICACIONES,GERENCIA REGIONAL DE CONTROL DE CAJAMARCA,1,NO,14 OTROS
202409,PROCESO NORMAL,CONTRATA,28683771.13,28184032.2,> 10 - 100,1633072.91,EDUCACIÓN/CULTURA,SUR,2022,5,2024,300,95.82,G. LOCAL,CULTURA,GERENCIA REGIONAL DE CONTROL DE ANCASH,1,SI,14 OTROS
202409,PROCESO NORMAL,CONTRATA,76517780.68,81434755.55,> 10 - 100,1235339.55,TRANSPORTES Y COMUNICACIONES,ORIENTE,2020,9,2024,360,82.85,G. NACIONAL,TRANSPORTES Y COMUNICACIONES,SUBGERENCIA DE CONTROL DEL SECTOR TRANSPORTES Y COMUNICACIONES,1,NO,2 INCUMPLIMIENTO DE CONTRATO
202409,PROCESO NORMAL,CONTRATA,14429654.72,14429654.72,> 10 - 100,8872473.66,EDUCACIÓN/CULTURA,SUR,2023,9,2024,330,40.95,G. LOCAL,EDUCACIÓN,GERENCIA REGIONAL DE CONTROL DE PUNO,1,NO,10 FALTA DE RECURSOS FINANCIEROS Y LIQUIDEZ
202409,PROCESO NORMAL,CONTRATA,10156340.7,10841751.75,> 10 - 100,1349762.75,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",NORTE,2022,6,2024,270,88.46,G. LOCAL,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",GERENCIA REGIONAL DE CONTROL DE PUNO,1,NO,2 INCUMPLIMIENTO DE CONTRATO
202409,PROCESO NORMAL,OBRAS POR IMPUESTOS,35664319.15,69263275.83,> 10 - 100,18908770.83,TRANSPORTES Y COMUNICACIONES,NORTE,2019,4,2021,480,25.55,G. LOCAL,TRANSPORTES Y COMUNICACIONES,GERENCIA REGIONAL DE CONTROL DE ANCASH,0,SI,14 OTROS
202409,PROCESO NORMAL,CONTRATA,22786493.67,26047926.21,> 10 - 100,203714.89,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",NORTE,2022,8,2024,360,53.51,G. LOCAL,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",GERENCIA REGIONAL DE CONTROL DE CUSCO,1,NO,14 OTROS
202409,PROCESO NORMAL,CONTRATA,10514519.49,13467342.56,> 10 - 100,0.56,EDUCACIÓN/CULTURA,NORTE,2021,8,2024,180,68.63,G. NACIONAL,EDUCACIÓN,SUBGERENCIA DE CONTROL DE UNIVERSIDADES,1,SI,2 INCUMPLIMIENTO DE CONTRATO
202409,PROCESO NORMAL,CONTRATA,11663882.79,14940452.0799999,> 10 - 100,42602.29,TRANSPORTES Y COMUNICACIONES,SUR,2022,9,2023,120,74.48,G. REGIONAL,TRANSPORTES Y COMUNICACIONES,GERENCIA REGIONAL DE CONTROL DE LIMA METROPOLITANA,1,NO,2 INCUMPLIMIENTO DE CONTRATO
202409,RECONSTRUCCIÓN CON CAMBIOS,CONTRATA,4486272.86,14706230.47,> 10 - 100,1635269.47,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",NORTE,2018,10,2019,90,89.96,G. LOCAL,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",GERENCIA REGIONAL DE CONTROL DE PIURA,1,SI,14 OTROS
202409,PROCESO NORMAL,CONTRATA,11354824.46,13972419.66,> 10 - 100,6058102.66,EDUCACIÓN/CULTURA,SUR,2023,8,2024,300,41.39,G. REGIONAL,EDUCACIÓN,GERENCIA REGIONAL DE CONTROL DE UCAYALI,1,NO,14 OTROS
202409,PROCESO NORMAL,CONTRATA,11840236.01,12600598.69,> 10 - 100,1711900.69,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",SUR,2021,8,2024,360,70.38,G. LOCAL,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",GERENCIA REGIONAL DE CONTROL DE AMAZONAS,1,NO,14 OTROS
202409,PROCESO NORMAL,ADMINISTRACIÓN DIRECTA,13765235.3,16286892.59,> 10 - 100,9181785.59,EDUCACIÓN/CULTURA,CENTRO,2020,3,2024,827,27.9,G. REGIONAL,EDUCACIÓN,GERENCIA REGIONAL DE CONTROL DE MOQUEGUA,0,NO,2 INCUMPLIMIENTO DE CONTRATO
202409,PROCESO NORMAL,CONTRATA,98918729.16,84375162.38,> 10 - 100,32021848.41,AGRICULTURA,CENTRO,2022,10,2022,120,89.01,G. NACIONAL,AGRICULTURA,SUBGERENCIA DE CONTROL DEL SECTOR AGRICULTURA Y AMBIENTE,1,NO,14 OTROS
202409,PROCESO NORMAL,CONTRATA,19160734.4229946,28611036.72,> 10 - 100,10603614.9342556,OTRAS INFRAESTRUCTURAS,CENTRO,2023,9,2024,180,9.74,G. NACIONAL,DEFENSA,SUBGERENCIA DE CONTROL DEL SECTOR SEGURIDAD INTERNA Y EXTERNA,0,NO,2 INCUMPLIMIENTO DE CONTRATO
202409,PROCESO NORMAL,CONTRATA,38966256.16,38966256.16,> 10 - 100,38202423.84,EDUCACIÓN/CULTURA,NORTE,2022,6,2023,406,60,G. REGIONAL,EDUCACIÓN,GERENCIA REGIONAL DE CONTROL DE TACNA,1,SI,14 OTROS
202409,PROCESO NORMAL,CONTRATA,15020450.34,23640617.83,> 10 - 100,3297276.65,TRANSPORTES Y COMUNICACIONES,NORTE,2022,5,2023,300,33.66,G. LOCAL,TRANSPORTES Y COMUNICACIONES,GERENCIA REGIONAL DE CONTROL DE AMAZONAS,0,NO,14 OTROS
